Time: 2018-08-14 00:10:33
Path of this file: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/lxa_outputs/stems_to_signatures.txt

System info:
=============================================
System: Darwin
Node: audreyxvi.local
Release: 17.5.0
Version: Darwin Kernel Version 17.5.0: Mon Mar  5 22:24:32 PST 2018; root:xnu-4570.51.1~1/RELEASE_X86_64
Machine: x86_64
Processor: i386
Python version: 3.5.2

Packages:
=============================================
Linguistica 5.1.0-dev
SciPy 0.19.1
NumPy 1.13.1
NetworkX 1.11

Linguistica parameters:
=============================================
{'keep_case': 0,
 'max_affix_length': 4,
 'max_word_tokens': 0,
 'max_word_types': 7000,
 'min_context_count': 3,
 'min_sig_count': 5,
 'min_stem_length': 4,
 'n_eigenvectors': 6,
 'n_neighbors': 9,
 'suffixing': 1}

Input file information:
=============================================
Path: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/english-brown.txt
Number of word types: 48781
Number of word tokens: 1145632

Results:
=============================================
Stems to signatures

\begin{tabular}{lll}
\toprule
Index      & Stems           & Signatures \\
\midrule
1          & $102            & 0/NULL \\
2          & $150            & 0/NULL \\
3          & $250            & 0/NULL \\
4          & $310            & 0/NULL \\
5          & $500            & 0/NULL \\
6          & -20-degrees     & -c/NULL \\
7          & 1-degree        & -c/NULL \\
8          & 10-degrees      & -c/NULL \\
9          & 10-year         & -old/NULL \\
10         & 1040            & NULL/a \\
11         & 11-year         & -old/NULL \\
12         & 110-degrees     & -c/NULL \\
13         & 1700            & 's/NULL \\
14         & 1800            & 's/NULL \\
15         & 1840            & 's/NULL \\
16         & 1850            & 's/NULL \\
17         & 1860            & 's/NULL \\
18         & 1870            & 's/NULL \\
19         & 1890            & 's/NULL/s \\
20         & 1900            & 's/NULL \\
21         & 1920            & 's/NULL/s \\
22         & 1930            & 's/NULL/s \\
23         & 1940            & 's/NULL/s \\
24         & 1950            & 's/NULL/s \\
25         & 1960            & 's/NULL/s \\
26         & 1961            & 's/NULL \\
27         & 1970            & NULL/s \\
28         & 2-year-old      & NULL/s \\
29         & 21-year         & -old/NULL \\
30         & 25-foot         & NULL/er \\
31         & 37-degrees      & -c/NULL \\
32         & 4-year          & -old/NULL \\
33         & 45-degree       & NULL/s \\
34         & 50-year         & -old/NULL \\
35         & 52-year         & -old/NULL \\
36         & 90-degree       & NULL/s \\
37         & abandon         & NULL/ed/ing/ment \\
38         & abbas           & 's/NULL \\
39         & abbe            & NULL/y \\
40         & abbot           & NULL/t \\
41         & abbreviat       & ed/ion/ions \\
42         & abbreviation    & NULL/s \\
43         & abernathy       & NULL/s \\
44         & aberration      & NULL/s \\
45         & abid            & e/es/ing \\
46         & abide           & NULL/s \\
47         & abilit          & ies/y \\
48         & ablat           & ed/ion \\
49         & able            & NULL/r \\
50         & abnormal        & NULL/ly \\
51         & abolish         & NULL/ed \\
52         & abolitionist    & NULL/s \\
53         & aborigin        & al/e/es \\
54         & aborigine       & NULL/s \\
55         & aborti          & on/ons/ve \\
56         & abortion        & NULL/s \\
57         & abound          & NULL/ed/ing/s \\
58         & abridg          & ed/ment \\
59         & abroad          & NULL/e \\
60         & abrupt          & NULL/ly/ness \\
61         & absence         & NULL/s \\
62         & absent-minded   & NULL/ly \\
63         & absentee        & NULL/ism \\
64         & absorpti        & on/ons/ve \\
65         & absorption      & NULL/s \\
66         & abstain         & NULL/ing \\
67         & abstracted      & NULL/ness \\
68         & abstracti       & ng/on/ons/ve \\
69         & abstractionis   & m/ts \\
